#{"t_start": 1760695127.3448179, "env_id": "None"}
r,l,t
270.05173,381,5157.625704
154.90392,520,5173.596689
248.73885,370,5174.581366
-22.226257,1000,5188.817768
-24.206766,1000,5197.554555
169.16269,711,5204.723228
-40.856346,1000,5213.047885
155.70612,644,5214.849494
150.10445,927,5234.6048
165.37901,586,5250.13933
-23.4447,1000,5251.292031
213.86633,568,5251.730029
134.07101,941,5256.490617
126.76949,976,5264.281584
296.38678,271,5272.27116
-44.742565,447,5274.628231
186.55315,537,5282.520635
119.10763,899,5288.825701
149.25356,707,5296.060985
208.25928,728,5319.666157
181.692,683,5328.65123
-41.142136,1000,5329.264155
-51.211655,1000,5338.755344
-87.18533,1000,5350.503081
-34.80031,1000,5358.238324
161.81012,793,5367.747612
154.18578,835,5381.353708
-107.32721,1000,5390.825155
143.09268,845,5392.788254
213.55957,590,5393.993048
-88.55208,1000,5412.550029
189.7921,784,5428.612176
-41.814514,1000,5429.267437
-26.028568,1000,5449.242803
-48.470016,1000,5451.252068
-21.962162,1000,5452.507336
-54.85699,1000,5468.532723
-56.91255,1000,5482.561288
-65.82151,1000,5483.154649
205.20596,799,5491.302585
-72.43196,1000,5501.188121
-101.60429,1000,5503.758434
-60.45385,1000,5523.164528
-71.570526,1000,5543.231796
-41.56948,1000,5543.998347
-37.032238,1000,5556.520302
-10.770953,1000,5572.084927
-0.6504087,1000,5575.456768
170.73834,938,5593.479315
171.74152,843,5608.331724
207.77524,743,5612.208946
-56.224316,1000,5620.10089
213.50671,511,5634.971012
112.48776,879,5648.46386
-51.0225,1000,5656.402895
209.52878,419,5660.508512
135.23636,725,5674.941933
-59.992565,1000,5708.193569
209.51785,659,5717.791831
-89.3864,1000,5736.64233
161.6431,979,5751.72126
-7.601285,1000,5757.455152
256.48154,474,5758.935472
249.57307,371,5766.897851
-24.685686,1000,5766.927545
122.910385,828,5777.018869
281.649,355,5777.448281
-57.19939,679,5789.406688
168.63496,726,5797.111186
226.24124,518,5802.908761
153.4423,617,5808.215603
85.51692,895,5809.643804
10.228369,1000,5814.488949
221.09863,477,5826.188732
245.49786,617,5827.336926
218.95158,495,5835.617386
-31.268356,1000,5840.516126
176.09703,669,5842.080705
-113.83733,175,5847.429602
